NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,DECKBLECH cover,135.04.025.01,2,4,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,,Gewindestift M06x8 A2 screwed pin,50-10-169,4,5,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,,"Verschlussstopfen R1/8"" locking screw",30-50-179,2,6,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,,"Steckverschraubung G1/8"" plug connection",30-20-159,2,7,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,,Senkschraube M04x06 A2 countersunk screw,50-10-117,10,8,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,,Senkschraube M4x10 hexagon screw,50-10-016,10,9,,SparePart 2.14.013 Hal 10,,,,,,,,,,
,FOTOZELLENVERSTELLUNG Photocell shifter,HALTER-FOTOZELLE holder,135.05.002.00,1,1,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Welle D20 L650 shaft,2.5002.0022,1,2,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Gewindespindel TR12x3 threadet spindle,135.05.003.01,1,3,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,LAGERRING bearing ring,135.05.004.00,2,4,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Gleitlager Iglidur 20x23x15 bearing,31-01-688,2,5,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Zustellrad d08 D60 hand wheel,31-02-257,1,6,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,WINKEL angle,135.05.005.00,2,7,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,BLECH sheet,135.05.006.00,2,8,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,BLECH sheet,135.05.007.00,1,9,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Sechskantschraube M6x12 A2 hexagon screw,50-10-094,4,10,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,"U-Scheibe 6,4 U-washer",52-10-002,8,11,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Fotozelle DK21 photocell,32-00-721,1,12,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Sechskantschraube M5x40 hexagon screw,50-10-265,2,13,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Sechskantschraube M8x30 hexagon screw,50-10-081,2,14,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,"U-Scheibe d8,4 A2 U-washer",52-10-001,2,15,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,"Anlaufscheibe D26 d14 L1,5 attempt washer",31-02-480,2,16,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,"Gleitlager,Iglidur G 13x15x15 sliding bearing",31-02-479,2,17,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Zylinderschraube M06x20 cylinder screw,50-10-018,4,18,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Gewindestift M06x8 A2 screwed pin,50-10-179,2,19,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,"U-SCHEIBE 5,3 U-washer",52-10-004,2,20,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Stellungsanzeiger Elesa rechts display,31-01-954,1,21,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,Reduzierhülse distance ring,31-02-138,1,22,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,,HALTER-SIKO holder,135.05.008.00,1,23,,SparePart 2.14.013 Hal 11,,,,,,,,,,
,Antrieb Backenstock Drive sealing station,Profilschiene HGH25CA rail,31-02-406_Schiene,2,1,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Laufwagen HGH-CA running carriage,31-02-406_Wagen,4,2,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,TRÄGER support,135.06.001.00,1,3,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Führungsbuchse - kurz guide bracket,135.06.011.01,2,4,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Führungsbuchse - lang guide bracket,135.06.020.01,2,5,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,HALTER holder,135.06.022.01,2,6,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Abschlußplatte plate,135.06.003.00,1,7,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Platte plate,135.06.002.00,2,8,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Führungsbuchse - innen guide bracket,135.06.019.00,2,9,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Zugstange tension rod,135.06.016.00,2,10,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,QUERTRÄGER support,135.06.015.02,1,11,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Einstellhülse bushing,135.06.021.00,2,12,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Druckstange push rod,135.06.010.00,2,13,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,ANSCHLUSS connection,135.06.009.00,2,14,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Lagerbock bearing block,135.06.025.02,1,15,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Koppel couple,135.06.008.01,4,16,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Antriebskurbel Laserzuschnitt drive crank,135.06.053.00,4,17,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Bolzen bolt,135.06.054.00,2,18,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Lasche buttstrap,135.06.005.00,13,19,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Gewindestab threadet rod,2.5500.0053,4,20,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Kugelbuchse 25/40x58 bushes,31-02-276,10,21,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Nadelhülse HK1622 needle bush,31-02-407,8,22,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Distansbuchse distance bushing,2.4000.0226,6,23,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Abstreifring m.Metallmantel stripper ring,31-00-066,8,24,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Schmiernippel M6 gerade nipple,31-00-499,8,25,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,U-Scheibe U-washer,52-10-003,8,26,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,SCHEIBE washer,2.0127.0020,8,27,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Anlaufscheibe D30 d16 L1,5 attempt washer",31-02-183,16,28,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Sechskantmutter M10 hexagonal nut,51-10-008,8,29,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Lagerbolzen bearing bolt,135.06.006.00,8,30,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Lagerbolzen bearing bolt,135.06.026.00,1,31,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Antriebswelle drive shaft,135.06.044.00,1,32,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Anschluß connection,135.06.014.00,2,33,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Sicherungsring locker ring,31-01.074,11,34,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Rohr(Distanzring) tube,135.06.012.00,2,35,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,FEDERBOLZEN spring bolt,135.06.023.00,4,36,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,ZUGFEDER tension spring,135.06.036.00,2,37,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Rillenkugellager 6004 2RS bearing,31-00-034,2,38,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Umlenkrad deflection pulley,135.06.027.00,1,39,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Paßscheibe 20x28x1,5 space washer",31-02-596,2,40,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Sicherungsring 42x1,75 VA locker ring",31-00-701,2,41,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,SCHEIBE washer,2.0127.0017,1,42,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,SCHEIBE washer,135.06.017.00,2,43,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Gleitlager Iglidur, m.Bund sliding bearing",31-02-419,4,44,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Tellerfeder 50x20,4x2,5 disc spring",31-02-701,6,45,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Stellmutter MSR 20x1,5 adjustment nut",31-02-585,2,46,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,WINKEL L025 L025 t005 angle,135.06.007.00,1,47,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"Näherungsschalter, induktiv M8x1 prox switch",32-01-954,1,48,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Spannsatz COM B D20/28 bushing,31-02-577,2,49,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,ABDECKPLATTE cover plate,135.06.037.00,2,50,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Leiste ledge,135.06.030.00,1,51,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Motorplatte motor plate,135.06.031.00,1,52,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Lasche buttstrap,135.06.032.00,1,53,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Welle shaft,135.06.033.00,1,54,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Antriebsrad drive pulley,135.06.034.00,1,55,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Rillenkugellager 6208 2RS bearing,31-02-417,1,56,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Spannsatz KTR 250 bushing,31-00-404,1,57,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Nutenstein M12x14 sliding block,31-00-168,2,58,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,ANSCHLAG stopper,135.06.035.00,2,59,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Anschlagpuffer D40xH20 stopper bumber,31-02-424,2,60,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Anschlußplatte connection plate,135.06.028.00,1,61,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,KLEMMVERBINDER clamping binder,135.06.029.00,1,62,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Zahnriemen Br.50/Lg.1320 timing belt,31-02-422(3.133.06.001.02),1,63,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,SCHEIBE washer,2.0125.0081,2,64,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Hutmutter M12 low cap nut,51-10-023,2,65,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Halter holder,185.06.028.00,2,66,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Leiste ledge,185.06.029.00,1,67,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,"O-Ring 57,15x3,53 O-sealing",31-02-492,4,68,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Deckplatte cover plate,133.06.002.00,4,69,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Sensorhalter L125 sensor fixing,135.06.061.00,1,70,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Paßfeder 12x8x80 feather key,31-02-595,1,71,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Scheibe washer,135.06.050.01,2,72,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,Schraubendruckfeder pressure spring,31-02-687,2,73,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,,SCHEIBE washer,2.0127.0016,1,74,,SparePart 2.14.013 Hal 12,,,,,,,,,,
,ANTRIEB HORIZONTAL Hhorizontal drive,MOTORFLANSCH motor flange,135.06.042.00,1,1,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,0.0 cylinder screw,50-10-050,4,2,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,"E-Servo-Schneckengetriebe 14,5 gear box",34-00-428,1,3,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,Schrumpfscheibe D30/25 washer,31-02-576,2,4,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,Synchronmotor U=4500 motor,34-00-430,1,5,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,Zylinderschraube M05x20xA2 cylinder screw,50-10-057,4,6,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,Spezialkupplung clutch,31-02-436,1,7,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,,"U-SCHEIBE 5,3 U-washer",52-10-004,4,8,,SparePart 2.14.013 Hal 13,,,,,,,,,,
,Antrieb Vertikal Drive vertical,"E-Servo-Schneckengetriebe 14,5 gear box",34-00-428,1,1,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Motorflansch TK100 D80 motor flange,31-02-986,1,2,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Schrumpfscheibe D30/25 shrunk washer,31-02-576,2,3,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Synchron-Servomotor motor,34-00-671,1,4,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Zylinderschraube M06x20 cylinder screw,50-10-018,4,5,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Spezialkupplung clutch,31-02-437,1,6,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Zylinderschraube M8x100 VA cylinder screw,50-10-223,4,7,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,,Zylinderschraube M8x30 VA cylinder screw,50-10-061,4,8,,SparePart 2.14.013 Hal 14,,,,,,,,,,
,Vertical sealing support,Schwenkarm,135.07.003.01,1,1,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,fixed bearing,135.07.004.01,1,2,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,loose bearing,135.07.005.01,1,3,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bolt,135.07.006.00,1,4,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,stopper,135.07.007.00,1,5,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,butt strap,135.07.008.00,1,6,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,plate,135.07.011.01,1,7,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,flange,135.07.013.01,1,8,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bearing 10/26x12,31-02-409,1,9,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,plate,135.07.020.01,1,10,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,adjustment nut,135.07.016.01,1,11,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,spindle,135.07.014.01,1,12,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,carriage,135.07.018.01,1,13,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,holder,135.07.010.01,1,14,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,holder,135.07.023.01,1,15,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,shaft,135.07.022.01,2,16,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bolt,135.07.027.00,1,17,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,plate,135.07.041.01,1,18,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,locker ring A25,31-00-940,1,19,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,adapter,135.07.033.01,1,20,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,holder,135.07.019.01,1,21,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,cylinder,30-00-355,1,22,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bar,135.07.036.01,2,23,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,"clamping lever M8x40,VA",31-02-579,2,24,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,locking bolt,31-02-427,1,25,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,star knob B8x40,31-00-235,1,26,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,positions indicator,31-02-471,1,27,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,, reil,135.07.038.01_Schiene,1,28,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,carriage,135.07.038.01_Wagen,1,29,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,adjustment ring,31-02-426,1,30,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bushes 20x25x16,31-00-004,2,31,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,"attempt washer D20 d36 L1,5",31-01-903,2,32,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,screw-down plate,135.07.035.01,2,33,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bushes 14x8/20,31-01-951,1,34,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,"disc spring 20x10,2x0,4",31-02-581,4,35,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,"pressure spring d1,0 DM13 Lo24,0",31-02-580,1,36,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,attemt washer D25,31-01-936,1,37,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,feather key,135.07.037.01,4,38,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,"distance bushes D22 L035,5 d16",2.4000.0225,2,39,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,,bushes 12/22/32,31-02-410,4,40,,SparePart 2.14.013 Hal 15,,,,,,,,,,
,Vertical jaw,vertical sealing jaw L=310 VA,2.0320.0002,1,1,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,distance plate,135.07.097.00,2,2,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,terminal box,135.07.030.01,1,3,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,cover,135.07.031.01,1,4,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,ISO-bushes AD032 D018 d012 L014,135.07.026.01,2,5,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,axle,135.07.025.00,1,6,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,sheet,135.07.039.01,1,7,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,hexagon screw M6x16 A2,50-10-126,8,8,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,temp. feeler,32-00-673,1,9,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,"U-washer d04,3","52-10-009_U-Scheibed04,3",6,10,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,hexagon screw M4x10 ,50-10-087_M4x10,6,11,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,heatpipe Lg.300,32-02-432,1,12,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,"cable union M20x1,5",32-01-353,1,13,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,cylinder screw M06x20,50-10-018,1,14,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,retaining ledge,135.07.098.00,2,15,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,jaw cover right,135.07.099.00,1,16,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,jaw cover left,135.07.100.00,1,17,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,hexagon screw 6x20,50-10-010,4,18,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,19,,SparePart 2.14.013 Hal 16,,,,,,,,,,
,Holder for forming set,plate,135.10.002.01,2,1,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,distance bar,2.5054.0090,2,2,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,sheet,186.10.101.00,2,3,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,bolt,186.10.102.00,2,4,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,countersunk screw M05x12 A2,50-10-122,4,5,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,U-washer,52-10-003,2,6,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,hexagon screw  M10x40 A2,50-10-105,2,7,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,cylinder screw M10x25,50-10-021,2,8,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,U-washer A2,52-10-020,2,9,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,,low cap nut M16 A2,51-10-013,2,10,,SparePart 2.14.013 Hal 17,,,,,,,,,,
,Film draw-down,frame,135.11.001.01,2,1,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,shaft D020 L457.5,135.11.018.01,2,2,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,tube D050 L349.8,135.11.019.01,2,3,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,turning lever,135.11.020.02,2,4,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,centering ring,135.11.024.00,2,5,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cover plate,135.11.027.01,2,6,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,bolt,135.11.028.00,2,7,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cover,135.11.029.00,2,8,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,rail,31-02-582_HGH20CA-Schiene,2,9,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,carrier,31-02-582_HGH20CA-Wagen,4,10,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,joint ball M8,31-01-900,2,11,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder,30-00-357,2,12,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,swivel flange,30-50-429,2,13,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cheek,135.11.012.01,2,14,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,joint,135.11.021.01,2,15,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,carrier,135.11.023.00,2,16,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw M05x16,50-10-038,16,17,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,bearing D50/72x12,31-02-411,4,18,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,"screw M16x1,5",135.18.070.00,2,19,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,"locker ring 72x2,5",31-02-412,4,20,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw M05x20xA2,50-10-057,14,21,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,4,22,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw M8x40,50-10-157_M8x40,4,23,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,feather key 6x6x50,31-02-808,2,24,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,locker ring A20,31-00-428,4,25,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,bearing 6004 2RS,31-00-034,4,26,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,locker ring 50x2,31-01-0348,4,27,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw,50-10-017,2,28,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,throttle check valve M5x6,30-10-1930,5,29,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw M8x30 VA,50-10-061,5,30,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,shaft,2.5000.0194,25,31,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw M8x50 VA,50-10-159,2,32,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,piston,135.11.025.01,2,33,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,O-sealing 24x4,31-02-414,2,34,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,"pressure spring d1,25/DM12,5/Lo90,5",31-02-622,2,35,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,axle bolt,135.11.026.01,2,36,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,cylinder screw,50-10-005,2,37,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,locker ring 15x1,31-02-236,2,38,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,screwed pin M08x08,50-10-258,4,39,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,hexagon screw M08x25 A2,50-10-220,2,40,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,plug connection R17(x6,30-20-161,2,41,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,,staight pin Ø8x24,31-01-471,2,42,,SparePart 2.14.013 Hal 18,,,,,,,,,,
,Film deaw vacuum,space plate,135.11.045.01,2,1,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,O-sealing 20x2,31-02-746,2,2,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,O-sealing 32x2,31-02-747,2,3,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,cylinder screw M06x20,50-10-018,8,4,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,vacuum channel,135.11.046.01,2,5,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,buttstrap,135.11.047.01,2,6,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,4,7,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,hexagon screw M08x35 A2,50-10-192,4,8,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,toothed belt wheel T10/22,135.11.044.01,2,9,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,bushing BAR 20mm,31-02-430,2,10,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,toothed belt wheel T10/22,135.11.043.01,2,11,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,bearing d015D032B09,31-01-763,4,12,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,,draw down belt 28x630,31-00-247-4,2,13,,SparePart 2.14.013 Hal 19,,,,,,,,,,
,Drive film draw-down,flange,135.11.054.01,2,10,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,,motor,34-00-648,2,11,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,,clutch Dm16/20,31-02-530,2,12,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,,"washer 5,3",52-10-004,8,13,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,,cylinder screw M05x20xA2,50-10-057,8,14,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,,cylinder screw M6x30 VA,50-10-040,8,15,,SparePart 2.14.013 Hal 20,,,,,,,,,,
,Chute with tilting edge,ledge B040 T015 L250,133.15.040.00,2,1,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,support,135.15.027.00,1,2,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,sheet,135.15.026.00,1,3,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,retaining ledge L220,175.15.026.00,2,4,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,Block B015 T015 L0100,133.15.039.00,2,5,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,8,6,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,hexagon screw M8x25,50-10-067,2,7,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,hexagon screw M8x20 A2,50-10-100,2,8,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,hexagon screw M08x65 A2,50-10-252,4,9,,SparePart 2.14.013 Hal 21,,,,,,,,,,
,,countersunk screw M06x20 A2,50-10-127,2,10,,SparePart 2.14.013 Hal 21,,,,,,,,,,
